,Meth_PC1,Meth_PC2,Meth_PC3,Meth_PC4,Meth_PC5,Meth_PC6,Meth_PC7,Meth_PC8,Meth_PC9,Meth_PC10,Meth_PC11,Meth_PC12,Meth_PC13,Meth_PC14,Meth_PC15,Meth_PC16,Meth_PC17,Meth_PC18,Meth_PC19,Meth_PC20,Meth_PC21,Meth_PC22,Meth_PC23,Meth_PC24,Meth_PC25,Meth_PC26,Meth_PC27,Meth_PC28,Meth_PC29,Meth_PC30,Meth_PC31,Meth_PC32,Meth_PC33,Meth_PC34,Meth_PC35,Meth_PC36,Meth_PC37,Meth_PC38,Meth_PC39,Meth_PC40,Meth_PC41,Meth_PC42,Meth_PC43,Meth_PC44,Meth_PC45,Meth_PC46,Meth_PC47,Meth_PC48,Meth_PC49,Meth_PC50
TCGA-C8-A27B,-70.06974373,22.86768530342807,-24.99580745,-9.872828185,5.822979635230309,-1.794914394,-3.316951882,-6.498433339,-1.440840301,-3.154937945,6.426640014,2.365387067862438,3.750526943472018,3.270294607776818,-5.290113737,3.805254106454598,-2.097888331,-0.740518062,-4.385805378,2.194580339078401,1.740932836828088,4.859110291025707,-11.23935651,-1.769771401,7.087588917774901,7.538986723540154,-3.096969852,4.260025901333296,-2.676289752,-1.187460965,0.032892676,-1.550399628,-2.344267572,-10.05364619,3.176869836725221,0.7991204338988002,-5.232961188,-1.771598035,0.6103844788352292,-3.751644032,2.030701275558752,4.538087191832085,1.887160885487264,-2.654624831,-0.239471915,1.404697187700787,1.556831917222846,0.4942919091850014,-0.272204508,-1.951865443
TCGA-E9-A3Q9,-23.25204832,-58.07995062,-1.298616781,-8.039831032,24.79490352116969,12.07438270038762,-18.01374884,9.842301134215424,20.65613897849999,12.51906867720095,-4.930966508,8.862618205976894,-3.246837803,3.126449191815397,9.216961651409413,-6.508823272,-5.092631212,7.758079085377343,-2.204332663,-4.120923252,-0.783978991,-5.518724168,-1.467783833,-8.947369457,-3.140301835,3.638803071972801,2.386756281234678,-2.837826323,-0.020542831,3.495816307768592,0.4809123593112333,-8.055278293,-3.338134806,-2.184338561,-7.76783621,4.698167096572265,3.462138263224737,-1.1886472,0.8405577681695373,-6.301232456,-1.78655645,-6.439931359,-2.4911771,-0.18658507,-1.867898382,1.159763967606961,-1.440087976,1.186554590725834,0.5846074524225126,-5.124195834
TCGA-C8-A3M8,88.00145576529567,7.423684783768709,-18.23301061,-6.897342819,14.45276217640228,-2.988245335,-8.356056865,-8.529535997,6.652315005328304,-16.15184665,-0.143021022,9.553176820104815,11.35942532444308,-0.268039309,-8.006818922,-1.139011013,1.105779934808421,-6.502992371,-10.23532483,-3.310711971,-5.580714851,3.135584443608011,12.16834990564437,-1.488712146,0.424803205,1.675075955602776,0.2568640735020469,0.1130924603059443,-2.113029846,2.781989125185415,-3.509931653,3.480985006925463,-0.69035678,0.1541972135668583,2.234064638028644,0.7118564130502869,2.943338509368659,-5.970782035,-1.373328424,2.205715994413426,1.35133818,-4.432167969,-4.270708906,2.573193577313187,7.376983893352854,-1.268642801,-0.785782938,-3.742620618,-1.419467587,-4.91518593
TCGA-E9-A5FL,-62.11533937,17.64609467404909,-10.71232964,20.07446203673745,8.157415680741492,-18.1874349,-1.046474808,11.39643558941773,6.693898887,0.6135564187312523,2.925715896674944,-3.485690553,0.1974298484909044,13.35377471330564,-0.440135343,-7.797149209,-1.717876461,3.615818583297056,0.9575697359501407,-4.571312602,6.972146312190169,-7.92730538,-1.803550572,-11.54005644,5.874013013923062,-11.90358049,5.334202593098494,0.5682703001240327,1.864337383,-3.109634795,-0.74289146,2.992060883792977,-5.525742302,8.303154605889482,-8.413113813,1.330084792233572,3.597170568180211,8.336605342,-7.185597889,-2.19542188,4.761692400022903,5.755341551895373,5.092800975,5.103902447186049,2.272863002331339,-5.556003885,5.813102783627994,-5.513804579,-4.271364226,3.289517267508432
TCGA-A2-A25F,-26.41193705,39.53949478,-7.37849668,-0.083571771,37.06095880699617,-8.877339394,8.330853306252923,3.123499554242394,-15.77086476,5.981718554142683,-5.864104706,6.374749191715249,0.7759618935164944,-0.550740593,6.616042984556305,5.159160803489684,-5.089280317,6.849184365228261,-5.821370859,-1.461060376,2.744094444803044,-3.910073231,2.748866273063995,-0.478813196,-2.134316302,-2.075444512,3.981927991887692,-2.867109614,0.2631080843586798,-3.095793084,-2.777055956,-0.548162348,-1.10006247,-0.002431343,-0.619708324,-1.673432958,-2.714595582,-0.482971466,1.238301078854591,2.232600574894962,0.2079266116723082,-1.56010369,-1.637747172,3.158808950022188,4.16519756,1.361201154712759,1.687478744142711,3.547670611760318,0.5851731873142255,-0.884254879
TCGA-A1-A0SE,-9.596835548,-31.61559522,6.786369375341041,5.276590676904668,0.9913651948375035,19.01161945247335,11.56734202910142,-5.578364813,-0.833352019,-7.598975748,-0.839339826,-2.047780223,-15.03155748,-3.741739819,-2.691356952,-4.862384845,4.419803618099357,-1.023981006,6.319524538441335,-3.96187975,-5.608907027,-3.597463932,2.735498210674713,5.148858590918069,-3.917775349,-3.496584182,-2.17060423,1.852046288322517,2.355016473385721,2.826212604068634,-1.994030953,7.883646358951297,3.895277736570336,-0.118729379,2.257387176765405,5.985082942596903,-0.657815535,1.373335405368496,1.244597494855526,3.390803685137739,1.751636210095931,0.1993041545587652,-0.399613098,3.593813724476912,0.032738628,-1.746954923,-0.752597683,1.326643304349197,2.070050578001946,3.125178490703385
TCGA-A7-A425,-14.58598367,-20.59757451,16.65153334432874,-6.04278506,-1.870737209,-0.495276681,3.733583440500319,1.755137030208886,7.936360692138093,7.335945646378586,6.648304681063744,3.528130498684605,-7.8935379,-2.33707035,-3.647047654,0.3884146609141574,2.643133591593028,-1.376769894,-8.666132339,9.959191019503665,0.9057908570922437,0.016096584,-1.242528249,-2.019826534,-0.533042793,-8.563425643,2.028638339941469,8.876600848,-2.077043838,1.011146294800753,3.885753906097156,2.868045762986017,3.394808113521552,-6.951092732,-7.945346748,1.108772522033646,3.646752623778744,-0.403339571,-1.84126117,3.500782574744322,0.6064913765598158,0.2020092830681966,1.140904019,-0.089055407,-6.894313027,-0.672790425,0.1792146327819712,-5.321144016,7.831424518298439,-2.571309544
TCGA-E9-A1N8,-89.07216403,54.99761500131442,-20.42713834,-18.16148129,-18.96034771,-0.986901693,-18.19215339,-7.784387952,20.76319406464529,9.377906490898443,-1.416260549,-4.398529599,-15.70866578,-2.610228493,-17.87363083,3.040806653428524,-0.510426782,-7.079548634,10.59859790653011,-0.010951291,-0.096266683,0.3967716617823099,-11.28536937,-14.1643562,2.238533208566747,8.389102561300525,-16.40393279,3.356257211506636,-8.791440517,-13.74787052,-0.438182862,8.112666594850381,2.757816526556833,10.53838026743003,12.24518628173325,2.192362119640408,-7.659158406,3.578370866516675,-4.670526323,-2.578884803,4.691691933112609,-6.053177352,-0.237274437,-6.629191809,1.905627427466343,-0.338582492,0.7963546388179684,1.737152014663182,3.102325843442083,-5.478339661
TCGA-D8-A1X8,8.980970442868713,-25.70945399,13.44818745165429,-4.208053784,4.551601861903552,8.179308115562941,0.058577192,-1.107266664,0.151337886,-7.542769774,1.826333934715932,-4.841259422,-13.67566748,-2.093230959,-2.679799657,0.1607438568205721,-1.37095762,5.691694180192711,-8.551829226,3.613655785886434,-8.548341972,-5.312345953,1.449179679883162,-0.156870931,-0.210033229,-3.355308624,0.050678459,-6.26305349,-6.893907955,-7.489857987,0.8740389077770716,-0.231038294,-3.536799292,-5.851813674,2.476454582582849,-1.087551921,-0.839720926,0.8929002900646152,-2.730450716,2.127482634540435,2.884199149163108,0.026501448,3.196459422930033,-0.843015883,-1.314747199,3.972798487335265,2.041860437,-1.828271328,-0.759446672,1.583450962957874
TCGA-E2-A3DX,-20.04350312,12.01770904731062,18.45561601732913,0.242872845,18.96700831632426,4.624191203355402,10.83418121569791,2.552955010215662,-4.094077213,-4.206529545,1.90655552,4.112074681058624,0.1076949805910698,-0.304347995,3.945510230231449,0.5058542349710626,3.631507464946304,1.785735868301839,-1.558843967,2.039472914047105,-4.464127377,-0.987052772,0.2507173469338227,2.098797595704271,2.797716497784542,-0.288468844,-1.331433583,-1.486476789,-0.373812621,-2.360453973,1.018975908104925,1.107336565207525,-0.052565481,1.650719467283482,-0.335080928,-3.41988455,0.5983503274205828,-0.421934803,1.586893651171947,-1.171026322,0.3360075299922653,-0.510570312,0.3180513874361099,1.155699953190497,2.917028077746123,1.926475651966474,1.567705013621957,0.047563346,2.294241517580029,-0.776988622
