,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils
TCGA-A7-A0DC,0,0,0.07179645,0,0,0.375153029,0,0,0,0,0,0.05640598,0,0.238656645,0,0.154642305,0,0,0.093497317,0,0.009848274,0
TCGA-Z7-A8R6,0.056931724,0,0.024094268,0.014419957,0,0.223738083,0,0.019017544,0.059257446,0,0.007935029,0.013711249,0.003035225,0.122432612,0.07214378,0.271005481,0.000573752,0,0.111703849,0,0,0
TCGA-C8-A1HE,0.11359395,0,0.021892646,0,0,0.32453266,0,0,0.004437577,0,0.074127316,0,0.064846529,0,0.039728649,0.334839226,0,0,0,0.022001447,0,0
TCGA-AC-A2FM,0.082338773,0,0.046134723,0.021977279,0,0.319832522,0,0,0.025873883,0,0.035584974,0,0.017431588,0,0.045663796,0.247160446,0,0,0.151868682,0.006133333,0,0
TCGA-B6-A1KF,0.107379006,0,0.016538004,0,0,0,0,0.182390966,0,0,0,0.050481679,0,0.553004408,0,0.090205938,0,0,0,0,0,0
TCGA-EW-A1PB,0.015268624,0,0.00184281,0.069928424,0,0.061779384,0,0.112174679,0.010087704,0,0.011963124,0.053994209,0.004697866,0.005035377,0.335033479,0.206100989,0.011503211,0,0.085771881,0,0,0.014818237
TCGA-D8-A1JL,0.006717249,0.002609768,0.004358389,0,0,0.223954611,0,0.083975819,0,0.000885909,0.044585506,0,0.007222816,0.282079344,0.101748621,0.162309157,0,0.021992522,0.057560289,0,0,0
TCGA-AN-A0XN,0.000134374,0,0,0.000669984,0,0.118656333,0,0.015364027,0.031485296,0,0.054254918,0,0,0.438889132,0.027970902,0.232215267,0,0,0,0.080359765,0,0
TCGA-B6-A0RL,0,0.000721892,0.039159542,0.154060592,0,0,0,0.102544876,0.016855593,0,0,0.069487379,0,0.212377691,0,0.282028731,0,0.100058078,0.021103241,0,0,0.001602384
TCGA-D8-A1JK,0.03456358,0,0.048692544,0.073598533,0,0.177364937,0.025833849,0.010502842,0.007273796,0,0.068096647,0,0,0.267917375,0.106219778,0.167864194,0,0,0.005185795,0,0,0.00688613
