SampleID,Horvath,Hannum,PhenoAge
TCGA.C8.A27B.01A.11D.A16A.05,51.01615985,59.92289454,58.86495381
TCGA.E9.A3Q9.01A.11D.A21R.05,90.68247023,95.13564345,77.42019144
TCGA.C8.A3M8.01A.11D.A212.05,72.55197544,81.47888271,131.1162884
TCGA.E9.A5FL.01A.11D.A27Y.05,52.94719551,57.19760808,51.46957561
TCGA.A2.A25F.01A.11D.A16A.05,65.44392784,76.2068717,48.47679149
TCGA.A1.A0SE.01A.11D.A10P.05,58.47551972,58.73450609,78.56549038
TCGA.A7.A425.01A.11D.A244.05,59.39694273,72.41922832,96.41318923
TCGA.E9.A1N8.01A.11D.A145.05,47.20675364,57.12817697,89.46904912
TCGA.D8.A1X8.01A.11D.A14N.05,41.54887461,71.65209926,94.70883987
TCGA.E2.A3DX.01A.21D.A212.05,50.61139443,59.97450487,39.56447896
TCGA.AN.A0XV.01A.11D.A10A.05,92.85407478,81.84427466,144.5534188
TCGA.5L.AAT0.01A.12D.A41Q.05,63.48231852,69.1732944,81.78729823
TCGA.E2.A105.01A.11D.A10N.05,62.99894033,86.51235005,119.0854372
TCGA.A2.A0YL.01A.21D.A10A.05,58.15540863,72.1366022,79.10155398
TCGA.AO.A126.01A.11D.A10N.05,49.97018388,54.70592822,77.26500518
TCGA.AC.A23C.01A.12D.A16A.05,81.21209455,68.24390387,85.12649506
TCGA.D8.A27V.01A.12D.A17F.05,47.77557296,81.07066223,80.16307565
TCGA.AC.A8OS.01A.12D.A41Q.05,65.62974692,76.04234383,87.02631636
TCGA.AR.A24P.01A.11D.A16A.05,85.32583657,76.32069214,97.19354639
TCGA.AC.A2QJ.01A.12D.A19Z.05,42.43487372,40.11295266,55.70108156
TCGA.E2.A1BC.01A.11D.A12R.05,68.34305011,75.03115837,74.27792815
TCGA.BH.A0BJ.01A.11D.A10P.05,49.33188811,58.13667274,47.18504764
